Year,Median_Salary_EUR,Average_Salary_EUR,1st_Decile,9th_Decile,Wage_Index,Source
2015,NaN,NaN,NaN,NaN,NaN, 
2016,NaN,NaN,NaN,NaN,NaN, 
2017,NaN,NaN,NaN,NaN,NaN,
2018,3079,3465,NaN,NaN,NaN,https://stat.fi/til/pra/2018/pra_2018_2019-09-06_tie_001_fi.html
2019,3139,3527,NaN,NaN,NaN,https://stat.fi/til/pra/2019/pra_2019_2021-03-11_fi.pdf
2020,3217,3653,NaN,NaN,NaN,https://stat.fi/til/pra/2020/pra_2020_2021-10-11_tie_001_fi.html
2021,2873,NaN,NaN,NaN,NaN,https://stat.fi/tup/kokeelliset-tilastot/tulorekisterin_palkat_ja_palkkiot/2021-tammikuu/index.html
2022,2968,NaN,NaN,NaN,NaN,https://stat.fi/tup/kokeelliset-tilastot/tulorekisterin_palkat_ja_palkkiot/mediaani-tammikuussa-2022/index.html
2023,3028,NaN,NaN,NaN,NaN,https://stat.fi/tup/kokeelliset-tilastot/tulorekisterin_palkat_ja_palkkiot/2023-03-08/index.html
2024,3160,NaN,NaN,NaN,NaN,https://stat.fi/tup/kokeelliset-tilastot/tulorekisterin_palkat_ja_palkkiot/2024-03-08/index.html
2024,3223,NaN,NaN,NaN,NaN,https://stat.fi/tup/kokeelliset-tilastot/tulorekisterin_palkat_ja_palkkiot/2024-12-09/index.html
